num,smiles,energy
371,CC(CC(=O)O)CC(=O)O,5.037881
372,CC(C(=O)NCC(=O)[O-])[NH3+],26.0121
373,CC1=CC2=C(C=C1C)N=CN2,3.914117
374,CC(=O)OCC[N+](C)(C)C,18.70544
375,CC(=O)NC(CO)C(=O)O,11.41962
376,CNC(CC(=O)O)C(=O)O,10.90214
377,CC(=O)OCC(C(=O)O)N,10.55736
378,CC1C2=CC=CC=C2NC1=O,7.72316
379,C(C(CC(=O)O)O)C(=O)O,9.241482
380,CC(CC(=O)O)(C(=O)O)O,7.47222
381,CN1C=NC(=N)C2=C1N=CN2,11.74254
382,CN(C)CCC1=CC=CC=C1,4.621361
383,C(C(C(=O)O)O)(C(=O)O)O,10.62567
384,C1=CC=C(C(=C1)C=O)C(=O)O,10.26038
385,C1=CC=C(C=C1)C(=O)C(=O)O,7.82835
386,CSCCC(C(=O)O)O,2.327651
387,C1C(C(C(C(O1)O)O)O)O,14.73174
388,C1C(C(C(C(O1)O)O)O)O,14.909
389,COC1=C(C=CC(=C1)C=C)O,9.109362
390,C1=NC2=C(N1)C(=O)NC(=N2)N,14.29971
391,CC(=O)NC1=CC=C(C=C1)O,6.774319
392,C1=CC=C(C=C1)C(C(=O)O)N,7.600503
393,CNCCC1=CC=C(C=C1)O,5.823201
394,CC(=O)C1=C(C=C(C=C1)O)O,6.017059
395,C1=CC=C(C(=C1)CC(=O)O)O,6.337727
396,CC1=C(C(=CC=C1)C(=O)O)O,6.294161
397,CC1=C(C=CC(=C1)C(=O)O)O,5.54381
398,CC(=O)OC1=CC=CC(=C1)O,5.510934
399,COC1=C(C=CC(=C1)C=O)O,11.16434
400,C1=CC=C(C=C1)C(C(=O)O)O,7.533392
401,CN1C=C(C=CC1=O)C(=O)N,11.28228
402,C(C(C(C(CO)O)O)O)O,17.52843
403,C(C(C(=O)O)N)S(=O)O,6.89831
404,C1=CC(=C(C(=C1)N)O)C(=O)O,8.851901
405,C1=CC(=C(C=C1C(=O)O)N)O,8.52728
406,C1=C(C=C(C=C1N)O)C(=O)O,7.191031
407,C1=CC(=C(C(=C1)O)N)C(=O)O,6.838108
408,C1=CC(=C(C=C1N)O)C(=O)O,8.021382
409,CC1=CC(=C(C=C1)O)[N+](=O)[O-],5.466574
410,C1=CC(=C(C=C1N)C(=O)O)O,8.342573
411,C1=CC=C(C(=C1)C(=O)NO)O,9.105448
412,C1=CC(=C(C=C1CCN)O)O,8.921882
413,C1=CC(=CC=C1C(CN)O)O,8.146975
414,C1=CC(=C(C(=C1)O)O)C(=O)O,5.246111
415,C1=CC(=C(C=C1O)C(=O)O)O,5.830968
416,C1=CC(=C(C(=C1)O)C(=O)O)O,5.732402
417,CCOP(=O)(O)OCC,7.241029
418,COC1=CC(=CC(=C1)O)OC,13.03056
419,C1=C(C(=O)NC(=O)N1)C(=O)O,15.38059
420,CC=C(C)C(=O)NCC(=O)O,4.962853
421,C1CC(CCC1CN)C(=O)O,4.885522
422,C1C(NC(=O)NC1=O)C(=O)O,12.33905
423,C1(C(=O)NC(=O)N1)NC(=O)N,16.34614
424,CC(=O)CC(=O)CCC(=O)O,7.640365
425,CCCCCCCCC(=O)O,-4.529088
426,C1=CC=C2C(=C1)C(=CN2)CC=O,7.206955
427,CCC(C)C(=O)NCC(=O)O,4.133642
428,CCCCCCC(C(=O)O)N,0.4590047
429,C(CCCC(=O)O)CCCN,1.267708
430,CCOC(=O)CC(=O)OCC,13.04638
431,C(CCC(=O)O)CCC(=O)O,2.67572
432,CCCCCCC(C(=O)O)O,-0.3944624
433,CNCCCCC(C(=O)O)N,7.476961
434,C1=CC2=C(C(=C1)O)NC(=O)C=C2,7.297024
435,C(CC(C(=O)O)N)CC(=O)O,7.296169
436,CNC(CCC(=O)O)C(=O)O,9.172621
437,CC(C(C(=O)O)NC(=O)C)O,11.22823
438,C1=CC=C2C(=C1)C(=CN2)CCO,7.356146
439,C1=CC(=C(C=C1Cl)Cl)O,-1.671862
440,C1C2C(C(C(C(O1)O2)O)O)O,16.10473
441,C(CC(C(=O)O)O)CC(=O)O,6.813103
442,COC1=CC=CC=C1C=CC=O,8.755765
443,C(CC(C(=O)O)N)C(CN)O,11.12776
444,CN1CCCC1C2=CN=CC=C2,8.995641
445,C1=CC=C(C=C1)CC(=O)C(=O)O,5.711903
446,C1C(C(C(C(O1)CO)O)O)O,18.29279
447,C1C(C(C(OC1O)CO)O)O,17.17002
448,CC1C(C(C(C(O1)O)O)O)O,11.84675
449,CC1C(C(C(C(O1)O)O)O)O,11.38609
450,CCC(C1=CC=CC=C1)C(=O)O,5.151467
451,C1=CC=C(C=C1)CCCC(=O)O,6.028341
