smiles,substructure,average_contribution
C[N+](C)(C)CCO,C#C,0.0
C[N+](C)(C)CCO,CO,0.874708890914917
C[N+](C)(C)CCO,CCO,0.9164726138114929
C[N+](C)(C)CCO,c1ccccc1O,0.0
C[N+](C)(C)CCO,COC,0.0
C[N+](C)(C)CCO,C=O,0.0
C[N+](C)(C)CCO,CC=O,0.0
C[N+](C)(C)CCO,CC(=O)C,0.0
C[N+](C)(C)CCO,C(=O)O,0.0
C[N+](C)(C)CCO,CC(=O)O,0.0
C[N+](C)(C)CCO,COC(=O)C,0.0
C[N+](C)(C)CCO,CN,1.0
C[N+](C)(C)CCO,CCN,0.9701828956604004
C[N+](C)(C)CCO,CC(=O)N,0.0
C[N+](C)(C)CCO,CC#N,0.0
C[N+](C)(C)CCO,CCl,0.0
C[N+](C)(C)CCO,CCBr,0.0
C[N+](C)(C)CCO,c1ccccc1S(=O)(=O)O,0.0
C[N+](C)(C)CCO,c1ccccc1[N+](=O)[O-],0.0
C[N+](C)(C)CCO,c1ccccc1,0.0
C[N+](C)(C)CCO,Cc1ccccc1,0.0
C[N+](C)(C)CCO,C=CC1=CC=CC=C1,0.0
C[N+](C)(C)CCO,Nc1ccccc1,0.0
C[N+](C)(C)CCO,c1ccc2ccccc2c1,0.0
C[N+](C)(C)CCO,Oc1ccc2ccccc2c1,0.0
C[N+](C)(C)CCO,Nc1ccc2cccc(c2)c1,0.0
C[N+](C)(C)CCO,n1ccccc1,0.0
C[N+](C)(C)CCO,o1cccc1,0.0
C[N+](C)(C)CCO,s1cccc1,0.0
C[N+](C)(C)CCO,n1cccc1,0.0
C(C(C(=O)O)N)O,C,0.809589684009552
C(C(C(=O)O)N)O,CC,0.8115928173065186
C(C(C(=O)O)N)O,C=C,0.0
C(C(C(=O)O)N)O,C#C,0.0
C(C(C(=O)O)N)O,CO,0.7334352135658264
C(C(C(=O)O)N)O,CCO,0.7614908218383789
C(C(C(=O)O)N)O,c1ccccc1O,0.0
C(C(C(=O)O)N)O,COC,0.0
C(C(C(=O)O)N)O,C=O,0.7431714534759521
C(C(C(=O)O)N)O,CC=O,0.7679817080497742
C(C(C(=O)O)N)O,CC(=O)C,0.0
C(C(C(=O)O)N)O,C(=O)O,0.717950165271759
C(C(C(=O)O)N)O,CC(=O)O,0.7428631782531738
C(C(C(=O)O)N)O,COC(=O)C,0.0
C(C(C(=O)O)N)O,CN,0.735265851020813
C(C(C(=O)O)N)O,CCN,0.7587050795555115
C(C(C(=O)O)N)O,CC(=O)N,0.0
C(C(C(=O)O)N)O,CC#N,0.0
C(C(C(=O)O)N)O,CCl,0.0
C(C(C(=O)O)N)O,CCBr,0.0
C(C(C(=O)O)N)O,c1ccccc1S(=O)(=O)O,0.0
C(C(C(=O)O)N)O,c1ccccc1[N+](=O)[O-],0.0
C(C(C(=O)O)N)O,c1ccccc1,0.0
C(C(C(=O)O)N)O,Cc1ccccc1,0.0
C(C(C(=O)O)N)O,C=CC1=CC=CC=C1,0.0
C(C(C(=O)O)N)O,Nc1ccccc1,0.0
C(C(C(=O)O)N)O,c1ccc2ccccc2c1,0.0
C(C(C(=O)O)N)O,Oc1ccc2ccccc2c1,0.0
C(C(C(=O)O)N)O,Nc1ccc2cccc(c2)c1,0.0
C(C(C(=O)O)N)O,n1ccccc1,0.0
C(C(C(=O)O)N)O,o1cccc1,0.0
C(C(C(=O)O)N)O,s1cccc1,0.0
C(C(C(=O)O)N)O,n1cccc1,0.0
C(C(C(=O)O)O)O,C,0.8547885417938232
C(C(C(=O)O)O)O,CC,0.8570168018341064
C(C(C(=O)O)O)O,C=C,0.0
C(C(C(=O)O)O)O,C#C,0.0
C(C(C(=O)O)O)O,CO,0.7767758965492249
C(C(C(=O)O)O)O,CCO,0.803872287273407
C(C(C(=O)O)O)O,c1ccccc1O,0.0
C(C(C(=O)O)O)O,COC,0.0
C(C(C(=O)O)O)O,C=O,0.7797642350196838
C(C(C(=O)O)O)O,CC=O,0.8077433705329895
C(C(C(=O)O)O)O,CC(=O)C,0.0
C(C(C(=O)O)O)O,C(=O)O,0.7545380592346191
C(C(C(=O)O)O)O,CC(=O)O,0.7818289995193481
C(C(C(=O)O)O)O,COC(=O)C,0.0
C(C(C(=O)O)O)O,CN,0.0
C(C(C(=O)O)O)O,CCN,0.0
C(C(C(=O)O)O)O,CC(=O)N,0.0
C(C(C(=O)O)O)O,CC#N,0.0
C(C(C(=O)O)O)O,CCl,0.0
C(C(C(=O)O)O)O,CCBr,0.0
C(C(C(=O)O)O)O,c1ccccc1S(=O)(=O)O,0.0
C(C(C(=O)O)O)O,c1ccccc1[N+](=O)[O-],0.0
C(C(C(=O)O)O)O,c1ccccc1,0.0
C(C(C(=O)O)O)O,Cc1ccccc1,0.0
C(C(C(=O)O)O)O,C=CC1=CC=CC=C1,0.0
C(C(C(=O)O)O)O,Nc1ccccc1,0.0
C(C(C(=O)O)O)O,c1ccc2ccccc2c1,0.0
C(C(C(=O)O)O)O,Oc1ccc2ccccc2c1,0.0
C(C(C(=O)O)O)O,Nc1ccc2cccc(c2)c1,0.0
